Class,Nom,valeur
Grab,pos1,200/-1600/180
Grab,pos2,640/-1600/0
Grab,pos3,200/-1600/0
Grab,pos4,200/-1600/90
Drop,pos1,200/-850/-90
Drop,pos2,200/-350/-90
Drop,pos3,350/-850/90
Drop,pos4,350/-350/90
Drop,pos5,640/-650/180
Main,ini,200/-650/0
Main,grab,640/-1600/180
Main,drop,640/-650/180
Main,end,200/-250/0
Grab2,pos1,1700/-1600/180
Grab2,pos2,2140/-1600/0
Grab2,pos3,1700/-1600/0
Grab2,pos4,1700/-1600/90
Drop2,pos1,1700/-850/-90
Drop2,pos2,1700/-350/-90
Drop2,pos3,1850/-850/90
Drop2,pos4,1850/-350/90
Drop2,pos5,2140/-650/180
Main2,ini,1700/-650/0
Main2,grab,2140/-1600/180
Main2,drop,2140/-650/180
Main2,end,1700/-250/0
Pin,pump1,6
Pin,pump2,5
Pin,pump3,11
Pin,pump4,9
Pin,pump5,10
Pin,slide1,13/19/26
Pin,slide2,13/19/26
